name,address,label,
ほぐしの達人池袋東口店,東京都豊島区東池袋1丁目9−10 ユタカビル 4Ｆ,4,
高興リラックス空間 池袋店,東京都豊島区西池袋3丁目26−5 ニューマツモトビル 9Ｆ,9,
Bodysh 池袋サンシャイン60通り店,東京都豊島区東池袋1丁目21−1 ラグーン池袋ビル 4Ｆ,4,
快眠ドライヘッドスパ＆眠れるハンドリフレRelala（リララ）,東京都豊島区南池袋2丁目23−4 富沢ビル 402,4,
あしカラダ 池袋西口店,東京都豊島区西池袋1丁目16−8 池袋山口ビル 2Ｆ,2,
ほぐしや,東京都豊島区東池袋1丁目1−1,1,
リフレッシュ池袋西口ソラーレ店,東京都豊島区池袋2丁目7−5 2Ｆ,2,
りらくる池袋本店,東京都豊島区南池袋3丁目13−10 ＩＳＰ第三ビル 5Ｆ,5,
OWNDAYS 池袋西口店,東京都豊島区西池袋1丁目15−7 ベルビル 1Ｆ,1,
"Zoff MART ""ALWAYS IN SEASON"" ルミネ池袋店",東京都豊島区西池袋1丁目11−1 ルミネ池袋 6Ｆ,6,
（仮称）JR折尾駅,東京都 123 Ａｄｄｒｅｓｓ,1,
JINS LABI1池袋店,東京都豊島区東池袋1丁目5−7 ＩＫＥＢＵＫＵＲＯ6Ｆ ＬＡＢＩ1日本総本店,1,
メガネのオーマイグラス東京 エソラ池袋店,東京都豊島区西池袋1丁目12−1 Ｅｓｏｌａ池袋 4階,4,
東京メガネ 西武池袋店,東京都豊島区南池袋1丁目28−1 西武池袋本店 9階,9,
眼鏡市場 池袋東口本店,東京都豊島区東池袋1丁目4−6,1,
JINS 池袋東武店,東京都豊島区西池袋1丁目1−25 東武百貨店 7Ｆ,7,
Zoff 池袋ショッピングパーク店,東京都豊島区南池袋1丁目29−1 池袋ショッピングパーク 北館,1,
メガネスーパー池袋西口店,東京都豊島区西池袋1丁目16番8号 池袋山口ビル,1,
イワキ 池袋パルコ店 (IWAKI OPTICAL Ikebukuro Parco Store）,東京都豊島区南池袋1丁目28−2 池袋 パルコ 5 階,5,
メガネドラッグ池袋本店,東京都豊島区西池袋1丁目10−10 1Ｆ,1,
メガネさろん,東京都豊島区西池袋1丁目1−25 5階11番地 東武百貨店池袋店,5,
メガネスーパー池袋東口駅前店,東京都豊島区南池袋1丁目22−5 鈴木ビル 1階2階,1,
高田眼鏡店 池袋メガネサロン店,東京都豊島区南池袋3丁目13−4,1,
パリミキ 池袋店,東京都豊島区東池袋1丁目12−13 セイコービル 池袋東口,1,
イワキ 池袋東武店 (IWAKI OPTICAL Ikebukuro Tobu Store）,東京都豊島区西池袋1丁目1−25 東武百貨店 7階1番地,7,
POKER FACE 池袋店,東京都豊島区南池袋1丁目28−2,1,
執事眼鏡eyemirror,東京都豊島区東池袋1丁目31−13,1,
JINS 池袋ﾊﾟﾙｺ店,東京都豊島区南池袋1丁目28−2 本館 Ｂ2Ｆ,-2,
ビックカメラ 池袋西口店,東京都豊島区西池袋1丁目16−3,1,
ビックカメラ 池袋本店,東京都豊島区東池袋1丁目41−5 池袋興和ビル,1,
ヤマダデンキ LABI1 LIFE SELECT 池袋,東京都豊島区東池袋1丁目5−7,1,
YAMADA池袋2号館,東京都豊島区東池袋1丁目41−1,1,
ビックカメラ アウトレット×ソフマップ 池袋東口店,東京都豊島区東池袋1丁目11−7,1,
ノジマ 池袋東武店,東京都豊島区西池袋1丁目1−25 8～10番地 4階 東武百貨店池袋店,4,
ビックカメラ 池袋SELECT,東京都豊島区東池袋1丁目5−6 ビック池袋東口ビル 1階～2階,1,
ビックカメラ 池袋カメラ・パソコン館,東京都豊島区東池袋1丁目6−7,1,
マブハウス,東京都豊島区池袋2丁目72−10 第二岸本ビル,1,
福井電機（株）,東京都豊島区池袋1丁目7−16,1,
コガムセン,東京都豊島区東池袋1丁目7−5 池袋イースタンビル 4Ｆ,4,
Panasonic shop エニータイムとみざわ,東京都豊島区南池袋2丁目23−4,1,
ラクデン,東京都豊島区東池袋3丁目13−7 池三ビル 1階,1,
じゃんぱら 池袋東口店,東京都豊島区東池袋1丁目39−6 寄池マンション 1Ｆ ビル,1,
株式会社ビックカメラ 池袋本部,東京都豊島区南池袋2丁目49−7,1,
ボーネルンド元気倶楽部 池袋西武店,東京都豊島区南池袋1丁目28−1 6階,6,
仔熊 池袋西武店,東京都豊島区南池袋1丁目28−1,1,
トイザらス・ベビーザらス 池袋サンシャインシティ店,東京都豊島区東池袋3丁目1 文化会館ビル Ｂ1 サンシャインシティ,-1,
ＫＯＧＵＭＡ池袋 ショッピングパーク店,東京都豊島区南池袋1丁目29−1 池袋ショッピングパーク 北館,1,
Bear Labo 西武池袋本店,東京都豊島区南池袋1丁目28−1 7階 中央ゾーンＢ8 本館 Ｂ9,7,
ボーネルンドショップ 東武百貨店 池袋店,東京都豊島区西池袋1丁目1−25 おもちゃ ／ テレビゲーム,1,
キデイランド 池袋サンシャインシティ店,東京都豊島区東池袋3丁目1−2 サンシャインシティ 専門店街アルパ 2Ｆ,2,
ビックカメラ 池袋西口店,東京都豊島区西池袋1丁目16−3,1,
一番くじ公式ショップ 池袋サンシャインシティ店,東京都豊島区東池袋3丁目1−3 サンシャインシティ ワールドインポートマートビル 3Ｆ,3,
ミニヨン JR池袋駅南改札横,東京都豊島区南池袋1丁目28 ＪＲ池袋駅南改札横,1,
ブランジェ浅野屋 池袋西口店,東京都豊島区西池袋1丁目1−25 ＪＲ池袋駅Ｂ1Ｆ＿中央自由通路西口,-1,
メゾンカイザー 西武池袋本店,東京都豊島区南池袋1丁目28−1 西武池袋本店 Ｂ1,-1,
BOUL'ANGE 池袋東武店,東京都豊島区西池袋1丁目1−25,1,
Le Bihan(ルビアン) 池袋西武店,東京都豊島区南池袋1丁目28−1 地下1階南Ｂ10番地 西武池袋本店,-1,
パン・リゾッタ,東京都豊島区西池袋1丁目1−25,1,
ドンク 西武池袋店,東京都豊島区南池袋1丁目28−1 西武池袋本店食品館Ｂ1Ｆ,-1,
VIE DE FRANCE 池袋店,東京都豊島区西池袋1丁目1−30,1,
八天堂 池袋,東京都豊島区南池袋1丁目 池袋駅Ｂ1Ｆ＿中央改札脇,-1,
Pain au Traditionnel 西武池袋店,東京都豊島区南池袋1丁目28−1 西武池袋本店食品館Ｂ1Ｆ,-1,
銀座 木村屋總本店 東武池袋店,東京都豊島区西池袋1丁目1−25東武百貨店池袋店 Ｂ2,-2,
ポンパドウル 池袋ISP店,東京都豊島区南池袋1丁目29−1 池袋ショッピングパーク 南館,1,
ベーカリーズキッチン オハナ 東武百貨店池袋店,東京都豊島区西池袋1丁目1−25 東武百貨店池袋店 Ｂ1Ｆ,-1,
アンデルセン 東武池袋店,東京都豊島区西池袋1丁目1−25 地下1階 1番地 東武百貨店池袋本店,-1,
ポンパドウル 東武百貨店池袋店,東京都豊島区西池袋1丁目1−25東武百貨店10番地Ｂ2,-2,
ミニワン 西武池袋店,東京都豊島区南池袋1丁目28−1西武池袋店 Ｂ1,-1,
みつわベーカリー,東京都豊島区池袋2丁目16−14,1,
銀座木村家東武池袋店,東京都豊島区西池袋1丁目1−25 東武百貨店池袋店 地下2階,-2,
ケーキ&ベーカリーショップ,東京都豊島区西池袋1丁目6−1,1,
BAGEL & BAGEL 池袋東武店,東京都豊島区西池袋1丁目1−25 池袋東武本館 Ｂ2Ｆ,-2,
THE KISS 池袋ロフト店,東京都豊島区南池袋1丁目28−1 西武池袋本店 9Ｆ,9,
lattice ラティス 池袋ISP店,東京都豊島区南池袋1丁目29−1 池袋ショッピングパーク 北館,1,
アネモネ 池袋パルコ店,東京都豊島区南池袋1丁目28−2 池袋パルコ 本館 2Ｆ,2,
貴和製作所 ルミネ池袋店,東京都豊島区西池袋1丁目11−1 7Ｆ,7,
コトモノマルシェ ルミネ池袋店,東京都豊島区西池袋1丁目11−1 ＬＵＭＩＮＥ池袋 5階,5,
ACCESSORIES BLOSSOM エチカ池袋店,東京都豊島区西池袋3丁目28−14 Ｅｃｈｉｋａ池袋内,1,
THE KISS Anniversary 池袋西武店,目－28－1 南池袋 豊島区 東京都 171－0022 日本,1,
シングスリー 池袋パルコ店,東京都豊島区南池袋1丁目28−2,1,
VENTUNO ベントゥーノ 池袋パルコ店,東京都豊島区南池袋1丁目28−2 池袋パルコ 本館 Ｂ1Ｆ,-1,
アガット 池袋パルコ,東京都豊島区南池袋1丁目28−2 池袋ＰＡＲＣＯ 2階,2,
Jolie Toujours ルミネ池袋店,東京都豊島区西池袋1丁目11−1,1,
S.O.S fp 池袋パルコ店,東京都豊島区南池袋1丁目28−2,1,
池袋西武 BIBI ヘアアクセサリー,東京都南池袋1丁目28−1 2階 アクセサリー売場,2,
mimi33池袋パルコ店,東京都豊島区南池袋1丁目28−2 池袋パルコ 2Ｆ,2,
cui-cui 西武池袋店（キュイキュイ）ブライダル ファッションジュエリー,東京都豊島区南池袋1丁目28−1 西武池袋本店 2Ｆ,2,
ete ルミネ池袋店,東京都豊島区西池袋1丁目11−1 2Ｆ,2,
アガット 池袋東武,東京都豊島区西池袋1丁目1−25 1階 2番地 東武百貨店 池袋,1,
